date,tec,gdlat,glon
2017-09-10 15:00:00,7.845912,61.855694,21.339453
2017-09-10 15:00:00,6.50224,68.950058,12.128699
2017-09-10 15:00:00,7.306424,62.856041,9.168172
2017-09-10 15:00:00,7.40805,64.26207,10.099794
2017-09-10 15:00:00,6.946242,65.570732,6.672015
2017-09-10 15:00:00,7.639726,60.626648,15.146856
2017-09-10 15:00:00,8.515731,56.637383,16.906752
2017-09-10 15:00:00,7.752281,60.644112,14.037286
2017-09-10 15:00:00,8.762949,57.61562,31.358267
2017-09-10 15:00:00,8.243888,57.152119,12.809192
2017-09-10 15:00:00,8.217227,57.100098,10.862195
2017-09-10 15:00:00,9.911382,49.983212,-0.943712
2017-09-10 15:00:00,8.114843,57.028999,9.131839
2017-09-10 15:00:00,7.283117,63.872219,34.361275
2017-09-10 15:00:00,7.919291,58.98621,15.383893
2017-09-10 15:00:00,7.279272,63.164848,22.412628
2017-09-10 15:00:00,8.746703,55.465073,12.935153
2017-09-10 15:00:00,8.126271,58.852947,17.70295
2017-09-10 15:00:00,6.747489,66.659157,7.759023
2017-09-10 15:00:00,7.91339,59.548779,6.398947
2017-09-10 15:00:00,7.754945,61.068886,6.935879
2017-09-10 15:00:00,7.447547,62.408649,3.552008
2017-09-10 15:00:00,8.25211,57.435181,11.986872
2017-09-10 15:00:00,9.795426,47.083996,7.526024
2017-09-10 15:00:00,8.784772,53.808132,13.867343
2017-09-10 15:00:00,8.181008,57.438774,11.008733
2017-09-10 15:00:00,8.797752,54.851189,27.625612
2017-09-10 15:00:00,7.79468,58.949135,17.848661
2017-09-10 15:00:00,7.854543,58.954006,15.731032
2017-09-10 15:00:00,7.776426,58.935081,13.788063
2017-09-10 15:00:00,7.007978,64.22744,37.7323
2017-09-10 15:00:00,7.535892,60.644527,20.725208
2017-09-10 15:00:00,7.758913,64.082169,27.669392
2017-09-10 15:00:00,8.434701,57.191422,17.728102
2017-09-10 15:00:00,7.760221,60.414906,22.981583
2017-09-10 15:00:00,6.275796,68.140778,14.477524
2017-09-10 15:00:00,7.801818,61.632496,11.222884
2017-09-10 15:00:00,7.271946,63.103519,12.162922
2017-09-10 15:00:00,7.004114,64.571068,8.705181
2017-09-10 15:00:00,7.783776,59.263237,17.017904
2017-09-10 15:00:00,8.783876,55.414543,18.488251
2017-09-10 15:00:00,7.833994,59.299335,15.952139
2017-09-10 15:00:00,9.147737,56.348583,31.734728
2017-09-10 15:00:00,7.93539,60.212906,14.200233
2017-09-10 15:00:00,7.797162,60.167046,12.026352
2017-09-10 15:00:00,9.728187,52.03157,-2.162158
2017-09-10 15:00:00,7.982382,60.103146,10.077097
2017-09-10 15:00:00,6.964275,66.041733,35.350964
2017-09-10 15:00:00,7.689606,62.000172,17.039179
2017-09-10 15:00:00,7.195921,65.629601,24.008486
2017-09-10 15:00:00,8.322178,58.405876,14.274645
2017-09-10 15:00:00,8.008361,61.832634,19.501835
2017-09-10 15:00:00,6.159111,68.791046,9.696883
2017-09-10 15:00:00,7.91739,62.63892,7.334508
2017-09-10 15:00:00,7.517854,64.051888,8.123936
2017-09-10 15:00:00,7.312292,65.270882,4.773497
2017-09-10 15:00:00,7.86832,60.5089,13.302569
2017-09-10 15:00:00,8.58369,56.546921,15.275822
2017-09-10 15:00:00,7.763005,60.516472,12.212162
2017-09-10 15:00:00,8.740649,57.582596,30.138853
2017-09-10 15:00:00,7.924187,59.546093,13.395387
2017-09-10 15:00:00,7.969068,59.491898,11.279504
2017-09-10 15:00:00,9.766743,51.528355,-2.221973
2017-09-10 15:00:00,7.905119,59.421139,9.391862
2017-09-10 15:00:00,7.057382,65.671188,34.805431
2017-09-10 15:00:00,7.707043,61.351299,16.137156
2017-09-10 15:00:00,7.56233,65.134239,23.093803
2017-09-10 15:00:00,8.335876,57.759674,13.510833
2017-09-10 15:00:00,7.973546,61.20216,18.574562
2017-09-10 15:00:00,6.258404,68.257973,8.641023
2017-09-10 15:00:00,7.875626,61.935127,6.624631
2017-09-10 15:00:00,7.569086,63.365524,7.337407
2017-09-10 15:00:00,7.494843,64.5868,3.998017
2017-09-10 15:00:00,7.881957,59.838463,12.513861
2017-09-10 15:00:00,9.621541,48.076305,7.21137
2017-09-10 15:00:00,8.681155,55.945087,14.525159
2017-09-10 15:00:00,7.919023,59.837601,11.446681
2017-09-10 15:00:00,8.416254,56.996395,29.295498
2017-09-10 15:00:00,8.048564,58.025822,15.063883
2017-09-10 15:00:00,8.060482,57.995934,13.040263
2017-09-10 15:00:00,9.81545,50.432045,-0.236068
2017-09-10 15:00:00,8.00696,57.946201,11.210721
2017-09-10 15:00:00,7.169748,64.04068,35.758198
2017-09-10 15:00:00,7.783589,59.792877,17.769981
2017-09-10 15:00:00,6.974753,63.608311,24.737839
2017-09-10 15:00:00,8.601306,56.307159,15.0865
2017-09-10 15:00:00,7.975962,59.613762,20.051229
2017-09-10 15:00:00,6.347206,67.371902,10.752077
2017-09-10 15:00:00,8.058119,60.549549,8.530384
2017-09-10 15:00:00,7.55512,62.041096,9.264808
2017-09-10 15:00:00,7.550319,63.437824,5.837721
2017-09-10 15:00:00,8.053973,58.319481,14.235886
2017-09-10 15:00:00,9.944571,47.377342,8.891974
2017-09-10 15:00:00,8.836421,54.603821,15.945889
2017-09-10 15:00:00,8.086033,58.335918,13.212407
2017-09-10 15:00:00,8.904427,55.577213,29.468863
2017-09-10 15:00:00,7.180894,64.574738,16.146765
2017-09-10 15:00:00,7.152021,64.544571,13.534367
2017-09-10 15:00:00,7.140068,64.492188,11.180609
2017-09-10 15:00:00,6.601583,69.420021,37.912437
2017-09-10 15:00:00,7.039679,66.32991,19.5131
2017-09-10 15:00:00,7.045895,69.361519,26.789444
2017-09-10 15:00:00,7.592001,62.543995,16.10211
2017-09-10 15:00:00,5.35518,75.256111,27.393389
2017-09-10 15:00:00,7.466153,66.113792,22.276636
2017-09-10 15:00:00,5.279873,72.1502,12.265474
2017-09-10 15:00:00,7.139773,67.066826,8.394729
2017-09-10 15:00:00,6.696554,68.346313,9.629944
2017-09-10 15:00:00,7.038504,69.443855,6.129156
2017-09-10 15:00:00,7.11356,64.899963,15.100846
2017-09-10 15:00:00,8.166183,60.270222,17.222904
2017-09-10 15:00:00,7.150805,64.913528,13.79535
2017-09-10 15:00:00,8.604244,61.361004,34.358849
2017-09-10 15:00:00,7.186441,63.264687,18.946442
2017-09-10 15:00:00,7.249487,63.275135,16.443195
2017-09-10 15:00:00,7.236234,63.259773,14.146983
2017-09-10 15:00:00,6.681513,67.786079,39.527481
2017-09-10 15:00:00,7.097276,64.943405,22.297783
2017-09-10 15:00:00,6.454254,67.870621,29.462364
2017-09-10 15:00:00,7.677969,61.311977,18.715759
2017-09-10 15:00:00,5.107185,74.134705,31.625265
2017-09-10 15:00:00,7.380122,64.683273,24.83246
2017-09-10 15:00:00,5.659966,71.250633,16.08238
2017-09-10 15:00:00,6.744699,65.941086,11.584618
2017-09-10 15:00:00,6.525482,67.252419,12.926781
2017-09-10 15:00:00,6.644032,68.521759,9.437833
2017-09-10 15:00:00,7.218568,63.603741,17.989426
2017-09-10 15:00:00,8.23344,59.17017,19.572945
2017-09-10 15:00:00,7.303248,63.638321,16.733524
2017-09-10 15:00:00,8.499358,60.160976,35.076756
2017-09-10 15:00:00,7.616075,61.5163,14.508827
2017-09-10 15:00:00,7.626204,61.472912,12.222845
2017-09-10 15:00:00,7.649102,61.40654,10.163894
2017-09-10 15:00:00,6.88429,67.08696,35.859158
2017-09-10 15:00:00,7.519376,63.296848,17.461941
2017-09-10 15:00:00,7.281625,66.750565,24.468317
2017-09-10 15:00:00,8.117941,59.646221,14.571169
2017-09-10 15:00:00,5.991653,73.85923,25.315695
2017-09-10 15:00:00,7.816504,63.121395,20.013166
